,time_stamp,Column1,comment_date,comment_title,comment,score
0,01-02-21,1,Reviewed in India on 28 January 2021,Must buy,best qualiti,1.0
1,01-02-21,2,Reviewed in India on 26 January 2021,Just taste splendid,test without warm milk awesom note use warm milk tast great,0.6666666666666666
2,01-02-21,3,Reviewed in India on 23 January 2021,Good for the ones who have a sweet tooth.,sweet,0.35
3,01-02-21,4,Reviewed in India on 21 January 2021,Don't buy it,bad qualiti useless better buy offlin store,-0.23333333333333325
4,01-02-21,5,Reviewed in India on 19 January 2021,Taste is good,good open half packquant less,0.09166666666666667
5,01-02-21,6,Reviewed in India on 6 January 2021,nicely packed,nice packag yet open hope crush overal decent,0.25555555555555554
6,01-02-21,7,Reviewed in India on 5 January 2021,Delicious!,yummi,0.0
7,01-02-21,8,Reviewed in India on 4 January 2021,Good delivery,like,0.0
8,01-02-21,9,Reviewed in India on 4 January 2021,Got dry cockroache in CronFlask,got dri cockroach cronflask dust bin want contact custom care talk product,0.0
9,01-02-21,10,Reviewed in India on 1 January 2021,Quality,noth normal would prefer anyon,0.15
10,01-02-21,11,Reviewed in India on 29 December 2020,Worth Buying,satisfi product,0.0
11,01-02-21,12,Reviewed in India on 17 December 2020,Highly Overpriced,overpr,0.0
12,01-02-21,13,Reviewed in India on 15 December 2020,Dirty packaging,dirti packag cornflak rest fine,0.4166666666666667
13,01-02-21,14,Reviewed in India on 15 December 2020,Good breakfast option,would nice price rs 5000 less,0.21666666666666667
14,01-02-21,15,Reviewed in India on 11 December 2020,10 percent honey and 90 percent sugar,pleas dont buy thought product honey wrong see ingredi sugar content accord experi less honey sugar calori health conciou go product got trap product usp honey wrong dont fall safe healthi,-0.16666666666666663
15,01-02-21,16,Reviewed in India on 8 December 2020,Nicr,good healthi neatli pack deliv amazon,0.7
16,01-02-21,17,Reviewed in India on 5 December 2020,Good,good,0.7
17,01-02-21,18,Reviewed in India on 2 December 2020,Good,like flavor,0.0
18,01-02-21,19,Reviewed in India on 30 November 2020,Great taste,use sometim nowfind better plain corn flake howev sadli avail local market,0.09523809523809523
19,01-02-21,20,Reviewed in India on 30 November 2020,Nice,good,0.7
20,01-02-21,21,Reviewed in India on 28 November 2020,Review,nice product,0.6
21,01-02-21,22,Reviewed in India on 27 November 2020,Corn flakes crushed,corn flake crush,0.0
22,01-02-21,23,Reviewed in India on 25 November 2020,Children like it,flavor packag,0.0
23,01-02-21,24,Reviewed in India on 20 November 2020,Nice  ??  from  Amazon,super product test also,0.3333333333333333
24,01-02-21,25,Reviewed in India on 17 November 2020,Good product,good product,0.7
25,18-01-21,26,Reviewed in India on 9 November 2020,Horrible experience,wish could click picturew open packet today 5 month saw worm almondsnev thought would see worm kelloggslook like given old stuff,0.05
26,18-01-21,27,Reviewed in India on 7 November 2020,Damaged and open,receiv two kellogg almond honey cornflak pack damag condit one open found ant,0.0
27,18-01-21,28,Reviewed in India on 4 November 2020,Good,good flavor good packag,0.7
28,18-01-21,29,Reviewed in India on 4 November 2020,Very Tasty!,amaz breakfast option,0.0
29,18-01-21,30,Reviewed in India on 29 October 2020,Quick nutritious and,healthi breakfast love,0.5
30,18-01-21,31,Reviewed in India on 29 October 2020,Please Don't buy this Product.,fli worm insid packag pleas dont buy product worst experi,-1.0
31,18-01-21,32,Reviewed in India on 28 October 2020,kellogs super!!,product good term packag flavour valu money relat quantiti buy,0.7
32,18-01-21,33,Reviewed in India on 27 October 2020,"With Almond ""leaves""",worth price honey flavour sugari coat thin almond wafer perfect recip dupe consum,0.3
33,18-01-21,34,Reviewed in India on 27 October 2020,Good,nice,0.6
34,18-01-21,35,Reviewed in India on 26 October 2020,Good,good,0.7
35,18-01-21,36,Reviewed in India on 23 October 2020,Too sweet,regular custom rs 20 packag use consum whenev leav earli home breakfast preparedbought consum cornflak quick snack week breakfast due reason comfort say hate flavor core nowit soo soo soo sweet actual kill sweet crave rest day,0.015476190476190452
36,18-01-21,37,Reviewed in India on 23 October 2020,Delicious and nutritious,good delici fulfil appetit,0.7
37,18-01-21,38,Reviewed in India on 23 October 2020,A healthy and tasty breakfast or snack,regular consum sinc 7 year,0.0
38,18-01-21,39,Reviewed in India on 22 October 2020,Nice product..,love,0.5
39,18-01-21,40,Reviewed in India on 21 October 2020,For those who like very sweet cereal.,sweet gener like lesser sweet,0.2333333333333333
40,18-01-21,41,Reviewed in India on 19 October 2020,Good,good,0.7
41,18-01-21,42,Reviewed in India on 9 October 2020,Super good in  crispy and tasty,none,0.0
42,18-01-21,43,Reviewed in India on 8 October 2020,Not good,good,0.7
43,18-01-21,44,Reviewed in India on 7 October 2020,Nice,yummi yummi yummi alway order amazon,0.0
44,18-01-21,45,Reviewed in India on 4 October 2020,Caring Company,good cooper compani,0.7
45,18-01-21,46,Reviewed in India on 1 September 2020,Superb quality,delici need add extra sugar,0.0
46,18-01-21,47,Reviewed in India on 31 August 2020,Value for money,nice product good packag n fast deliveri thank amazon,0.49999999999999994
47,18-01-21,48,Reviewed in India on 31 August 2020,Try it get exact as you see,good qualiti expect,0.7
48,18-01-21,49,Reviewed in India on 30 August 2020,Great taste and healthy breakfast.,tasti healthi nice packag,0.6
49,18-01-21,50,Reviewed in India on 6 January 2021,nicely packed,nice packag yet open hope crush overal decent,0.25555555555555554
50,18-01-21,51,Reviewed in India on 5 January 2021,Delicious!,yummi,0.0
51,18-01-21,52,Reviewed in India on 4 January 2021,Good delivery,like,0.0
52,18-01-21,53,Reviewed in India on 4 January 2021,Got dry cockroache in CronFlask,got dri cockroach cronflask dust bin want contact custom care talk product,0.0
53,18-01-21,54,Reviewed in India on 1 January 2021,Quality,noth normal would prefer anyon,0.15
54,18-01-21,55,Reviewed in India on 29 December 2020,Worth Buying,satisfi product,0.0
55,18-01-21,56,Reviewed in India on 17 December 2020,Highly Overpriced,overpr,0.0
56,18-01-21,57,Reviewed in India on 15 December 2020,Dirty packaging,dirti packag cornflak rest fine,0.4166666666666667
57,18-01-21,58,Reviewed in India on 15 December 2020,Good breakfast option,would nice price rs 5000 less,0.21666666666666667
58,18-01-21,59,Reviewed in India on 11 December 2020,10 percent honey and 90 percent sugar,pleas dont buy thought product honey wrong see ingredi sugar content accord experi less honey sugar calori health conciou go product got trap product usp honey wrong dont fall safe healthi,-0.16666666666666663
59,18-01-21,60,Reviewed in India on 8 December 2020,Nicr,good healthi neatli pack deliv amazon,0.7
60,18-01-21,61,Reviewed in India on 5 December 2020,Good,good,0.7
61,18-01-21,62,Reviewed in India on 2 December 2020,Good,like flavor,0.0
62,18-01-21,63,Reviewed in India on 30 November 2020,Great taste,use sometim nowfind better plain corn flake howev sadli avail local market,0.09523809523809523
63,18-01-21,64,Reviewed in India on 30 November 2020,Nice,good,0.7
64,18-01-21,65,Reviewed in India on 28 November 2020,Review,nice product,0.6
65,18-01-21,66,Reviewed in India on 27 November 2020,Corn flakes crushed,corn flake crush,0.0
66,18-01-21,67,Reviewed in India on 25 November 2020,Children like it,flavor packag,0.0
67,18-01-21,68,Reviewed in India on 20 November 2020,Nice  ??  from  Amazon,super product test also,0.3333333333333333
68,18-01-21,69,Reviewed in India on 17 November 2020,Good product,good product,0.7
69,18-01-21,70,Reviewed in India on 16 November 2020,Good,good breakfast,0.7
70,18-01-21,71,Reviewed in India on 12 November 2020,Amazing,falvaour ai good,0.7
71,18-01-21,72,Reviewed in India on 9 November 2020,Nice products,excel product valu money,0.0
72,18-01-21,73,Reviewed in India on 9 November 2020,"Satisfied, value for money",satisfi,0.0
73,18-01-21,74,Reviewed in India on 8 November 2020,Over all is very good and thanks to Amazon for delivered this on time,good tast badam qti less,0.26666666666666666
74,18-01-21,75,Reviewed in India on 4 October 2020,Bad quality product,except 45 small piec find almond tast honey pack qualiti drastic gone compar product cost kellogg need look,-0.25
75,18-01-21,76,Reviewed in India on 3 October 2020,old Stock,old stock,0.1
76,18-01-21,77,Reviewed in India on 2 October 2020,Amazing,good,0.7
77,18-01-21,78,Reviewed in India on 1 October 2020,Satisfied,deliveri time covid time area alsoflavor good meet expect,0.7
78,18-01-21,79,Reviewed in India on 30 September 2020,Worms found!!!,speechless worm,0.0
79,18-01-21,80,Reviewed in India on 30 September 2020,Good product,good product,0.7
80,18-01-21,81,Reviewed in India on 29 September 2020,Totally waste of money don't buy,good tast dont buy thistot wast money,0.7
81,18-01-21,82,Reviewed in India on 26 September 2020,Think before buying,product receiv damag condit wast money return polici,0.0
82,18-01-21,83,Reviewed in India on 24 September 2020,Kellogg s,super good product thank amazon,0.5166666666666666
83,18-01-21,84,Reviewed in India on 23 September 2020,Perfect products Kellogg's name is enough,perfect breakfast,1.0
84,18-01-21,85,Reviewed in India on 22 September 2020,Flavour is too sweet.,sweet want packet replac plane corn flex sweet cornflexi requir,0.35
85,18-01-21,86,Reviewed in India on 20 September 2020,Great product,tast sooo sooo good love best breakfast cereal kid love itful nutrit valu experienc sinc month,0.675
86,18-01-21,87,Reviewed in India on 17 September 2020,Good,good product,0.7
87,18-01-21,88,Reviewed in India on 17 September 2020,Yum,deliciousperfect start day,0.0
88,18-01-21,89,Reviewed in India on 16 September 2020,best breakfast supplement by kellogs,valu money,0.0
89,18-01-21,90,Reviewed in India on 14 September 2020,value for money,awesom product,0.0
90,18-01-21,91,Reviewed in India on 13 September 2020,Expired product,item expiri date week return upset purchas,0.0
91,18-01-21,92,Reviewed in India on 12 September 2020,Great breakfast cereal.,cereal 2 year breakfast tast honey almond great commun,0.8
92,18-01-21,93,Reviewed in India on 10 September 2020,Excellent product,excel qualitybut much costlywith thisbreakfast becom attract ceremoni meearlieri use avoid honey diabetesbut noit increas sugar level extraordinarili compar normal type cornflak,0.175
93,18-01-21,94,Reviewed in India on 10 September 2020,Kellogg's real almond honey was not really Almond honey but sugar and cornflakes,open product today use 1st product tast honey sugar similarli trace almond one reli product give repeat order,0.0
94,18-01-21,95,Reviewed in India on 8 September 2020,Good flavour.,good flavour,0.7
95,18-01-21,96,Reviewed in India on 5 September 2020,Good,healthi breakfast go,0.0
96,18-01-21,97,Reviewed in India on 4 September 2020,Good,good,0.7
97,18-01-21,98,Reviewed in India on 3 September 2020,Damaged product,product got damagedhad hole packbad buy,0.0
98,18-01-21,99,Reviewed in India on 29 August 2020,Amazing product,excel,0.0
99,18-01-21,100,Reviewed in India on 24 August 2020,Everything is good,nice,0.6
100,18-01-21,101,Reviewed in India on 24 August 2020,Good product,packag,0.0
101,18-01-21,102,Reviewed in India on 24 August 2020,Damaged package,damag packag,0.0
102,18-01-21,103,Reviewed in India on 23 August 2020,nutritious,nice product love,0.55
103,18-01-21,104,Reviewed in India on 23 August 2020,Great taste,full almond great tast,0.575
104,18-01-21,105,Reviewed in India on 22 August 2020,good product,well tast good breakfast,0.7
105,18-01-21,106,Reviewed in India on 21 August 2020,Good,tastey,0.0
106,18-01-21,107,Reviewed in India on 19 August 2020,Bad quality,bad qualiti almost dust bad tastedo buy,-0.6999999999999998
107,18-01-21,108,Reviewed in India on 19 August 2020,Good product,nice packag valu money,0.6
108,18-01-21,109,Reviewed in India on 19 August 2020,Nice packing,nice,0.6
109,18-01-21,110,Reviewed in India on 16 August 2020,Good for breakfast,nice,0.6
110,18-01-21,111,Reviewed in India on 16 August 2020,Ok,ok,0.5
111,18-01-21,112,Reviewed in India on 15 August 2020,Best products,100 best everyonebest price 489,1.0
112,18-01-21,113,Reviewed in India on 13 August 2020,"Great, light breakfast especially for summer mornings",love version classic cornflak realli decent amount almond ye ad honey flavor make addit sugar need make cereal bit sweeter side like us like healthiest breakfast process food light energ especi hot summer delhi morn cold milk sound like great idea amazon packag although declin late pack almost everyth plastic bag instead ship cardboard box therefor lot item includ one came complet crusheddamag luckili none cereal spill could much better packag amazon especi us prime member,0.22833333333333333
113,18-01-21,114,Reviewed in India on 11 August 2020,It is good,like sweet tast varieti easili avail regular shop,0.175
114,18-01-21,115,Reviewed in India on 11 August 2020,Nice,good product,0.7
115,18-01-21,116,Reviewed in India on 9 August 2020,Nicr,love,0.5
116,18-01-21,117,Reviewed in India on 9 August 2020,Quality Product,nice packag good qualiti product wirtb money spent,0.3999999999999999
117,18-01-21,118,Reviewed in India on 7 August 2020,Best breakfast food,time favourit,0.0
118,18-01-21,119,Reviewed in India on 6 August 2020,Not great,product good sugar free,0.55
119,18-01-21,120,Reviewed in India on 6 August 2020,Good service,good productnic packag,0.7
120,18-01-21,121,Reviewed in India on 6 August 2020,Great product and service,thank valu money product quick servic,0.3333333333333333
121,18-01-21,122,Reviewed in India on 5 August 2020,Awesome taste,flavor packag,0.0
122,18-01-21,123,Reviewed in India on 5 August 2020,Good,good,0.7
123,18-01-21,124,Reviewed in India on 2 August 2020,Good,good children,0.7
124,18-01-21,125,Reviewed in India on 1 August 2020,Good,good,0.7
125,18-01-21,126,Reviewed in India on 31 July 2020,Best,best qualiti food,1.0
126,18-01-21,127,Reviewed in India on 31 July 2020,Wonderful ??,love kellogg honey almond corn flake,0.5
127,18-01-21,128,Reviewed in India on 30 July 2020,Bad quality,tast goodlook like old stock,0.1
128,18-01-21,129,Reviewed in India on 29 July 2020,The product that I received came with a big damage,abl return back product sinc return would strongli suggest buy product,0.0
129,18-01-21,130,Reviewed in India on 29 July 2020,Amazing experience,excel qualiti good diet elderli person,0.7
130,18-01-21,131,Reviewed in India on 28 July 2020,I like so must of this flavour and test,good,0.7
131,18-01-21,132,Reviewed in India on 28 July 2020,Good product,good product,0.7
132,18-01-21,133,Reviewed in India on 25 July 2020,Most useless,good ness bad cornflakesmi dentur got crack cheawingagain sign almond honey,5.551115123125783e-17
133,18-01-21,134,Reviewed in India on 25 July 2020,Average,averag,0.0
134,18-01-21,135,Reviewed in India on 24 July 2020,tasty,like purchas,0.0
135,18-01-21,136,Reviewed in India on 24 July 2020,Soggy,soggi,0.0
136,18-01-21,137,Reviewed in India on 23 July 2020,Best thing to start a morning with.,best flavor cornflakesgood pack,1.0
137,18-01-21,138,Reviewed in India on 23 July 2020,A good product,got 2 330r tast good even ate 3am realli good cornflak almosnd flake well alreadi tast sweet dont add sugar,0.5833333333333334
138,18-01-21,139,Reviewed in India on 22 July 2020,Super????????????????????????super??????????????????????????????????????????????????????????????????,super,0.3333333333333333
139,18-01-21,140,Reviewed in India on 20 July 2020,Product was opened and damaged,product open damag,0.0
140,18-01-21,141,Reviewed in India on 20 July 2020,Bad experience,product fulli open outer packag carton box even packet throw away safe consum,0.25
141,18-01-21,142,Reviewed in India on 18 July 2020,product is quite satifactory,qualiti improv price high,0.16
142,18-01-21,143,Reviewed in India on 18 July 2020,Quality,nice,0.6
143,18-01-21,144,Reviewed in India on 16 July 2020,It's a good product,tast,0.0
144,18-01-21,145,Reviewed in India on 16 July 2020,Goodfood,good food,0.7
145,18-01-21,146,Reviewed in India on 13 July 2020,This is repeat order. I think this itself suffices,repeat order suffici explain,0.0
146,18-01-21,147,Reviewed in India on 13 July 2020,Zen,good product thank,0.7
147,18-01-21,148,Reviewed in India on 13 July 2020,Go to purchase,nice,0.6
148,18-01-21,149,Reviewed in India on 12 July 2020,Kelloge damaged,damag item,0.0
149,18-01-21,150,Reviewed in India on 15 July 2020,Not at all satisfied!!!!,bought 4 packet 1kgbefor buy know well product time satisfi like origin cornflak honey n almond flavor found almond disappoint,0.0
150,18-01-21,151,Reviewed in India on 12 July 2020,Good product,worth money,0.3
151,18-01-21,152,Reviewed in India on 11 July 2020,Very less ingredients and tastes bad,product contain less honey less almond piec rather 1kg pack lack ingredi tast much real almond honey 1kg pack,-0.04444444444444443
152,18-01-21,153,Reviewed in India on 11 July 2020,Fake  Product.,product qualiti chang,0.0
153,18-01-21,154,Reviewed in India on 3 July 2020,A good product as expected,product good deliv time,0.7
154,18-01-21,155,Reviewed in India on 2 July 2020,Healthy product,axel,0.0
155,18-01-21,156,Reviewed in India on 30 June 2020,Very nice,nice,0.6
156,18-01-21,157,Reviewed in India on 29 June 2020,Happy to get as expected. The fresh one.,worri read review took risk order got good one mfd recent within last daysit recent manufactur pack,0.175
157,18-01-21,158,Reviewed in India on 28 June 2020,??,good honey tast almond iin well breakfast,0.7
158,18-01-21,159,Reviewed in India on 28 June 2020,SUPERB,excel product good real honeyalmond tast,0.44999999999999996
159,18-01-21,160,Reviewed in India on 27 June 2020,Not reliable,got bag hole cant replac either,0.0
160,18-01-21,161,Reviewed in India on 24 June 2020,Better,packag good product good,0.7
161,18-01-21,162,Reviewed in India on 23 June 2020,Nyc product,nyc product properli pack tast realli well,0.0
162,18-01-21,163,Reviewed in India on 20 June 2020,Best of the flavours provided by Kelloggs,beat flavour absolut fantast,0.0
163,18-01-21,164,Reviewed in India on 20 June 2020,Value for money,beauti flavour,0.0
164,18-01-21,165,Reviewed in India on 17 June 2020,Thanks Amazon,good tast,0.7
165,18-01-21,166,Reviewed in India on 6 January 2021,nicely packed,nice packag yet open hope crush overal decent,0.25555555555555554
166,18-01-21,167,Reviewed in India on 5 January 2021,Delicious!,yummi,0.0
167,18-01-21,168,Reviewed in India on 4 January 2021,Good delivery,like,0.0
168,18-01-21,169,Reviewed in India on 4 January 2021,Got dry cockroache in CronFlask,got dri cockroach cronflask dust bin want contact custom care talk product,0.0
169,18-01-21,170,Reviewed in India on 1 January 2021,Quality,noth normal would prefer anyon,0.15
170,18-01-21,171,Reviewed in India on 29 December 2020,Worth Buying,satisfi product,0.0
171,18-01-21,172,Reviewed in India on 17 December 2020,Highly Overpriced,overpr,0.0
172,18-01-21,173,Reviewed in India on 15 December 2020,Dirty packaging,dirti packag cornflak rest fine,0.4166666666666667
173,18-01-21,174,Reviewed in India on 15 December 2020,Good breakfast option,would nice price rs 5000 less,0.21666666666666667
174,18-01-21,175,Reviewed in India on 11 December 2020,10 percent honey and 90 percent sugar,pleas dont buy thought product honey wrong see ingredi sugar content accord experi less honey sugar calori health conciou go product got trap product usp honey wrong dont fall safe healthi,-0.16666666666666663
175,18-01-21,176,Reviewed in India on 8 December 2020,Nicr,good healthi neatli pack deliv amazon,0.7
176,18-01-21,177,Reviewed in India on 5 December 2020,Good,good,0.7
177,18-01-21,178,Reviewed in India on 2 December 2020,Good,like flavor,0.0
178,18-01-21,179,Reviewed in India on 30 November 2020,Great taste,use sometim nowfind better plain corn flake howev sadli avail local market,0.09523809523809523
179,18-01-21,180,Reviewed in India on 30 November 2020,Nice,good,0.7
180,18-01-21,181,Reviewed in India on 28 November 2020,Review,nice product,0.6
181,18-01-21,182,Reviewed in India on 27 November 2020,Corn flakes crushed,corn flake crush,0.0
182,18-01-21,183,Reviewed in India on 25 November 2020,Children like it,flavor packag,0.0
183,18-01-21,184,Reviewed in India on 20 November 2020,Nice  ??  from  Amazon,super product test also,0.3333333333333333
184,18-01-21,185,Reviewed in India on 17 November 2020,Good product,good product,0.7
185,18-01-21,186,Reviewed in India on 16 November 2020,Good,good breakfast,0.7
186,18-01-21,187,Reviewed in India on 12 November 2020,Amazing,falvaour ai good,0.7
187,18-01-21,188,Reviewed in India on 9 November 2020,Nice products,excel product valu money,0.0
188,18-01-21,189,Reviewed in India on 9 November 2020,"Satisfied, value for money",satisfi,0.0
189,18-01-21,190,Reviewed in India on 9 November 2020,Horrible experience,wish could click picturew open packet today 5 month saw worm almondsnev thought would see worm kelloggslook like given old stuff,0.05
190,18-01-21,191,Reviewed in India on 8 November 2020,Over all is very good and thanks to Amazon for delivered this on time,good tast badam qti less,0.26666666666666666
191,18-01-21,192,Reviewed in India on 7 November 2020,Damaged and open,receiv two kellogg almond honey cornflak pack damag condit one open found ant,0.0
192,18-01-21,193,Reviewed in India on 4 November 2020,Good,good flavor good packag,0.7
193,18-01-21,194,Reviewed in India on 4 November 2020,Very Tasty!,amaz breakfast option,0.0
194,18-01-21,195,Reviewed in India on 29 October 2020,Quick nutritious and,healthi breakfast love,0.5
195,18-01-21,196,Reviewed in India on 29 October 2020,Please Don't buy this Product.,fli worm insid packag pleas dont buy product worst experi,-1.0
196,18-01-21,197,Reviewed in India on 28 October 2020,kellogs super!!,product good term packag flavour valu money relat quantiti buy,0.7
197,18-01-21,198,Reviewed in India on 27 October 2020,"With Almond ""leaves""",worth price honey flavour sugari coat thin almond wafer perfect recip dupe consum,0.3
198,18-01-21,199,Reviewed in India on 27 October 2020,Good,nice,0.6
199,18-01-21,200,Reviewed in India on 26 October 2020,Good,good,0.7
200,18-01-21,201,Reviewed in India on 23 October 2020,Too sweet,regular custom rs 20 packag use consum whenev leav earli home breakfast preparedbought consum cornflak quick snack week breakfast due reason comfort say hate flavor core nowit soo soo soo sweet actual kill sweet crave rest day,0.015476190476190452
201,18-01-21,202,Reviewed in India on 23 October 2020,Delicious and nutritious,good delici fulfil appetit,0.7
202,18-01-21,203,Reviewed in India on 23 October 2020,A healthy and tasty breakfast or snack,regular consum sinc 7 year,0.0
203,18-01-21,204,Reviewed in India on 22 October 2020,Nice product..,love,0.5
